Date,Close,High,Low,Open,Volume
2020-01-01,1271.2138671875,1278.9572349532316,1265.0801564168912,1266.472197472254,184535
2020-01-02,1270.169921875,1276.260194704945,1265.2541804210728,1276.260194704945,224986
2020-01-03,1270.2568359375,1283.263875439559,1267.646719151327,1272.866952723673,471643
2020-01-06,1248.8973388671875,1270.0393273363863,1244.1556691837866,1267.6467202802637,309711
2020-01-07,1261.86083984375,1264.2534467096675,1250.5503346594123,1253.9870518812795,226452
2020-01-08,1262.4266357421875,1266.0807571951107,1245.8958941301257,1245.8958941301257,151634
2020-01-09,1269.73486328125,1276.2166109682632,1263.2965538181268,1268.7342972488177,254061
2020-01-10,1268.8211669921875,1275.4769856002479,1264.2534629168797,1269.7347502896157,241536
2020-01-13,1285.5260009765625,1294.1828454266285,1269.386737127698,1269.386737127698,1006686
2020-01-14,1307.4073486328125,1311.1485582022854,1283.2637703381122,1287.6575090506851,1223576
2020-01-15,1312.84521484375,1317.238953969148,1300.1426675724188,1312.714793967608,648059
2020-01-16,1313.193115234375,1321.2845190108226,1303.4051781850821,1317.1952726977918,407701
2020-01-17,1313.7152099609375,1321.2410677752762,1311.0616550084071,1315.45528778132,334414
2020-01-20,1306.14599609375,1326.8094215107203,1300.7082525629685,1318.1090318614697,405916
2020-01-21,1293.8782958984375,1304.5797100206235,1290.4415787203643,1304.5797100206235,220146
2020-01-22,1285.9176025390625,1299.9687531990614,1271.3009053052317,1293.7479532987725,345273
2020-01-23,1295.314208984375,1298.098291524034,1285.004161047397,1285.8307618868785,265153
2020-01-24,1317.54345703125,1322.7636907088242,1297.2280688772087,1297.2280688772087,569596
2020-01-27,1290.0936279296875,1319.8489136252956,1283.3508269536849,1314.6286806116161,296520
2020-01-28,1289.5284423828125,1302.3615188000706,1274.6072509344394,1292.008032517162,520787
2020-01-29,1291.2247314453125,1307.6684881664341,1287.8751028665097,1300.4471226955216,542146
2020-01-30,1214.57421875,1312.0185686783668,1205.6127762295798,1296.3578695827364,2247117
2020-01-31,1155.8902587890625,1213.530337694876,1152.149048921108,1213.530337694876,2453672
2020-02-03,1175.1614990234375,1185.210490794613,1138.924463825505,1143.6661333452146,1223477
2020-02-04,1182.730712890625,1200.479524855396,1172.1161762833672,1182.9482225808651,714233
2020-02-05,1194.12841796875,1200.4797445685485,1185.5150114176267,1189.343203907673,365263
2020-02-06,1204.9168701171875,1208.3970256486366,1189.3431528727685,1194.9984056113735,541630
2020-02-07,1192.5189208984375,1212.1817801389604,1189.2127303704694,1211.9207259687792,481289
2020-02-10,1190.6048583984375,1197.1736955036697,1178.8593315893536,1193.6935394120892,221995
2020-02-11,1174.3348388671875,1191.6486317649399,1168.8101138762465,1190.3435735998717,668936
2020-02-12,1173.6822509765625,1191.9095199530304,1165.851902378498,1173.6822509765625,535926
2020-02-13,1170.55029296875,1180.6427224128947,1155.0201206984589,1174.5959948725858,622346
2020-02-14,1166.11328125,1182.1654578642951,1159.5879889342816,1172.02948255936,302469
2020-02-17,1159.1962890625,1176.2925744215713,1155.803116164331,1172.2468723585973,314694
2020-02-18,1153.4105224609375,1160.6318877833367,1136.7928007810856,1159.1963023631104,365859
2020-02-19,1177.5108642578125,1180.642983577331,1153.6717731934716,1157.1519293720341,415878
2020-02-20,1168.897216796875,1189.2995857278966,1165.4606057575834,1184.9493913966837,467051
2020-02-24,1160.3275146484375,1184.9061159971834,1153.6716951659096,1167.5923189386506,425905
2020-02-25,1170.46337890625,1178.9027137845535,1155.890227278286,1161.5019357213127,439256
2020-02-26,1153.4976806640625,1170.028420689294,1144.5797814399243,1170.028420689294,400747
2020-02-27,1152.888427734375,1164.459986608993,1142.5784888817075,1159.8487383462566,552259
2020-02-28,1118.34814453125,1148.4514724932972,1114.0849322179295,1141.4911605387922,681998
2020-03-02,1127.0050048828125,1152.8016826450757,1121.262768685918,1131.2246728196096,638567
2020-03-03,1148.32080078125,1156.2381333911887,1127.613939048019,1134.31319597814,463353
2020-03-04,1141.882568359375,1154.9331525055338,1121.393214973461,1148.9299687630414,596703
2020-03-05,1168.6361083984375,1174.5524148965774,1139.7944062862616,1141.882414503571,615834
2020-03-06,1149.2344970703125,1161.0670058247933,1124.090349588335,1139.751051053188,488488
2020-03-09,1099.903076171875,1149.321325535716,1083.2853553103084,1149.2343428915442,645388
2020-03-11,1087.6790771484375,1113.649715283195,1084.0683947209852,1106.7329489870435,349929
2020-03-12,1048.4404296875,1091.0287917972157,1019.6856012650213,1064.0575856204105,1631263
2020-03-13,1044.8297119140625,1111.3876862137338,943.6007094981644,1017.9454892890901,861712
2020-03-16,1005.93896484375,1043.698675514059,995.7160074522244,1043.698675514059,582975
2020-03-17,1000.2837524414062,1040.4796162219156,994.1934797055043,1013.7693563566177,764213
2020-03-18,984.0576171875,1017.9020480761938,966.7002760532472,1008.2881812038519,938588
2020-03-19,967.9618530273438,988.3642234318373,926.5914594673475,957.0428219850538,924947
2020-03-20,1032.2576904296875,1054.4872285299973,970.0934486889003,978.7938383632402,693752
2020-03-23,952.6925659179688,1057.4452674664794,939.641982823202,957.042760282891,845164
2020-03-24,977.923583984375,1001.414630930619,941.9039574256201,943.1655773740541,1053937
2020-03-25,976.05322265625,994.3240415017696,961.3930868713885,984.0141006801271,847717
2020-03-26,1021.1212158203125,1028.3860196758224,971.8334889829894,988.886230843028,931492
2020-03-27,1008.4617919921875,1064.057283741184,991.8440747873668,1035.084953811091,1162394
2020-03-30,1051.529052734375,1061.4475179961803,983.7965417821156,1002.284869452131,953364
2020-03-31,1089.8975830078125,1108.4294522826574,1062.6218873502023,1087.548520685496,635799
2020-04-01,1081.0233154296875,1117.9999680701396,1065.5801252092633,1096.2489959286972,769391
2020-04-03,1087.461669921875,1116.1729543497995,1053.660679041094,1076.238146586138,970935
2020-04-07,1147.4508056640625,1152.7145835998772,1099.7291922570666,1122.3502041231138,751753
2020-04-08,1166.504638671875,1225.8847927567942,1140.6645261898161,1147.4507657902557,1129971
2020-04-09,1185.4716796875,1194.868037146147,1170.3764181013391,1178.902842767566,512970
2020-04-13,1180.9908447265625,1204.0903142014301,1160.109910761888,1174.5525355129366,414943
2020-04-15,1207.8316650390625,1237.1954818552472,1180.9909826127146,1183.2530628151449,1062751
2020-04-16,1225.7979736328125,1232.8452683220485,1184.5145591810374,1197.1736691680583,789938
