Date,Close,High,Low,Open,Volume
2020-01-01,19818.1484375,19983.072531363334,19786.109971651615,19871.887492143487,4879
2020-01-02,20707.875,20754.44593196206,19818.247905110737,19818.247905110737,31788
2020-01-03,20600.6875,20870.554305712598,20432.69079406787,20676.517653185623,19053
2020-01-06,20544.267578125,20695.975516029845,20082.947133001955,20603.176531800964,25717
2020-01-07,21420.822265625,21505.52732902314,20433.664538338497,20576.20609025384,83884
2020-01-08,21887.166015625,22131.333834404722,21174.216329090355,21309.490699173,68506
2020-01-09,22251.201171875,22392.912200316732,21775.933093236483,21965.67991811357,40252
2020-01-10,22768.9453125,22831.46214562307,22162.54784185598,22301.870144722867,41458
2020-01-13,23240.79296875,23663.931583298883,22653.513176259858,22695.401864670035,55253
2020-01-14,22978.240234375,23232.014434597164,22846.329920635646,23085.52403852531,22816
2020-01-15,23142.630859375,23212.3158102161,22774.890447153834,23085.525849908197,24055
2020-01-16,22715.73828125,23504.908655533396,22496.09981378045,23163.55106095096,59132
2020-01-17,22749.919921875,23062.505897672592,22632.00489355105,22758.794836932288,32537
2020-01-20,22561.884765625,22928.30892361889,22471.034494167972,22757.04340863433,26423
2020-01-21,22386.71875,22820.924849195155,22267.780772700742,22588.216880957716,29652
2020-01-22,22448.353515625,22724.609292913905,22321.85692784196,22393.05435676373,28102
2020-01-23,22509.169921875,22627.132594714803,22345.36589448477,22448.35797910883,15181
2020-01-24,22563.396484375,22726.61380229754,22305.280991268763,22442.896489076706,31218
2020-01-27,23015.744140625,23179.15767157634,22393.206516342758,22529.505737271935,35307
2020-01-28,22863.15234375,23397.62071182333,22786.152599031062,22978.238598189146,13422
2020-01-29,22925.767578125,23192.807477482253,22633.07823984485,22957.85556911321,13788
2020-01-30,22905.38671875,23065.043771727564,22704.37434780476,22848.818891832998,18380
2020-01-31,22438.798828125,23098.203739910572,22263.97498737936,23043.879883015696,26041
2020-02-03,22692.962890625,22777.326973145213,21856.686397590118,21862.585863891713,19173
2020-02-04,23880.7890625,24050.395378106423,22727.779662425142,22822.190168328143,46295
2020-02-05,24278.763671875,24665.522558410277,23809.25224365279,23809.25224365279,65213
